Success,Success Status,Failed
SQBIR-093793-016,Assigned RPA Successfully,
SQBIR-093794-001,Assigned RPA Successfully,
SQBIR-093794-003,Assigned RPA Successfully,
SQBIR-093794-007,Assigned RPA Successfully,
SQBIR-093794-010,Assigned RPA Successfully,
SQBIR-093794-012,Assigned RPA Successfully,
SQBIR-093794-017,Assigned RPA Successfully,
SQBIR-093794-029,Assigned RPA Successfully,
SQBIR-093794-016,Assigned RPA Successfully,
SQBIR-093795-001,Assigned RPA Successfully,
SQBIR-093795-003,Assigned RPA Successfully,
SQBIR-093795-007,Assigned RPA Successfully,
SQBIR-093795-010,Assigned RPA Successfully,
SQBIR-093795-012,Assigned RPA Successfully,
SQBIR-093795-017,Assigned RPA Successfully,
SQBIR-093795-029,Assigned RPA Successfully,
SQBIR-093795-016,Assigned RPA Successfully,
SQBIR-093796-001,Assigned RPA Successfully,
SQBIR-093796-003,Assigned RPA Successfully,
SQBIR-093796-007,Assigned RPA Successfully,
SQBIR-093796-010,Assigned RPA Successfully,
SQBIR-093796-012,Assigned RPA Successfully,
SQBIR-093796-017,Assigned RPA Successfully,
SQBIR-093796-029,Assigned RPA Successfully,
SQBIR-093796-016,Assigned RPA Successfully,
SQBIR-093797-001,Assigned RPA Successfully,
SQBIR-093797-003,Assigned RPA Successfully,
SQBIR-093797-007,Assigned RPA Successfully,
SQBIR-093797-010,Assigned RPA Successfully,
SQBIR-093797-012,Assigned RPA Successfully,
SQBIR-093797-017,Assigned RPA Successfully,
SQBIR-093797-029,Assigned RPA Successfully,
SQBIR-093797-016,Assigned RPA Successfully,
SQBIR-093798-001,Assigned RPA Successfully,
SQBIR-093798-003,Assigned RPA Successfully,
SQBIR-093798-007,Assigned RPA Successfully,
SQBIR-093798-010,Assigned RPA Successfully,
SQBIR-093798-012,Assigned RPA Successfully,
SQBIR-093798-017,Assigned RPA Successfully,
SQBIR-093798-029,Assigned RPA Successfully,
SQBIR-093798-016,Assigned RPA Successfully,
SQBIR-093799-001,Assigned RPA Successfully,
SQBIR-093799-003,Assigned RPA Successfully,
SQBIR-093799-007,Assigned RPA Successfully,
SQBIR-093799-010,Assigned RPA Successfully,
SQBIR-093799-012,Assigned RPA Successfully,
SQBIR-093799-029,Assigned RPA Successfully,
SQBIR-093799-016,Assigned RPA Successfully,
SQBIR-093800-001,Assigned RPA Successfully,
SQBIR-093800-003,Assigned RPA Successfully,
SQBIR-093800-007,Assigned RPA Successfully,
SQBIR-093800-010,Assigned RPA Successfully,
SQBIR-093800-012,Assigned RPA Successfully,
SQBIR-093800-017,Assigned RPA Successfully,
SQBIR-093800-029,Assigned RPA Successfully,
SQBIR-093800-016,Assigned RPA Successfully,
SQBIR-093801-001,Assigned RPA Successfully,
SQBIR-093801-003,Assigned RPA Successfully,
SQBIR-093801-007,Assigned RPA Successfully,
SQBIR-093801-010,Assigned RPA Successfully,
SQBIR-093801-012,Assigned RPA Successfully,
SQBIR-093801-017,Assigned RPA Successfully,
SQBIR-093801-029,Assigned RPA Successfully,
SQBIR-093801-016,Assigned RPA Successfully,
SQBIR-093774-001A,Assigned RPA Successfully,
SQBIR-093774-003A,Assigned RPA Successfully,
SQBIR-093774-006A,Assigned RPA Successfully,
SQBIR-093774-009A,Assigned RPA Successfully,
SQBIR-093774-011A,Assigned RPA Successfully,
SQBIR-093774-020A,Assigned RPA Successfully,
SQBIR-093774-024A,Assigned RPA Successfully,
SQBIR-093774-032A,Assigned RPA Successfully,
SQBIR-093774-018A,Assigned RPA Successfully,
SQBIR-093775-001A,Assigned RPA Successfully,
SQBIR-093775-003A,Assigned RPA Successfully,
SQBIR-093775-006A,Assigned RPA Successfully,
SQBIR-093775-009A,Assigned RPA Successfully,
SQBIR-093775-011A,Assigned RPA Successfully,
SQBIR-093775-020A,Assigned RPA Successfully,
SQBIR-093775-024A,Assigned RPA Successfully,
SQBIR-093775-032A,Assigned RPA Successfully,
SQBIR-093775-018A,Assigned RPA Successfully,
SQBIR-093776-001A,Assigned RPA Successfully,
SQBIR-093776-003A,Assigned RPA Successfully,
SQBIR-093776-006A,Assigned RPA Successfully,
SQBIR-093776-009A,Assigned RPA Successfully,
SQBIR-093776-011A,Assigned RPA Successfully,
SQBIR-093776-020A,Assigned RPA Successfully,
SQBIR-093776-024A,Assigned RPA Successfully,
SQBIR-093776-032A,Assigned RPA Successfully,
SQBIR-093776-018A,Assigned RPA Successfully,
SQBIR-093777-001A,Assigned RPA Successfully,
SQBIR-093777-003A,Assigned RPA Successfully,
SQBIR-093777-006A,Assigned RPA Successfully,
SQBIR-093777-009A,Assigned RPA Successfully,
SQBIR-093777-011A,Assigned RPA Successfully,
SQBIR-093777-020A,Assigned RPA Successfully,
SQBIR-093777-024A,Assigned RPA Successfully,
SQBIR-093777-032A,Assigned RPA Successfully,
SQBIR-093777-018A,Assigned RPA Successfully,
SQBIR-093778-001A,Assigned RPA Successfully,
SQBIR-093778-003A,Assigned RPA Successfully,
SQBIR-093778-006A,Assigned RPA Successfully,
SQBIR-093778-009A,Assigned RPA Successfully,
SQBIR-093778-011A,Assigned RPA Successfully,
SQBIR-093778-020A,Assigned RPA Successfully,
SQBIR-093778-024A,Assigned RPA Successfully,
SQBIR-093778-032A,Assigned RPA Successfully,
SQBIR-093778-018A,Assigned RPA Successfully,
SQBIR-093779-001A,Assigned RPA Successfully,
SQBIR-093779-003A,Assigned RPA Successfully,
SQBIR-093779-006A,Assigned RPA Successfully,
SQBIR-093779-009A,Assigned RPA Successfully,
SQBIR-093779-011A,Assigned RPA Successfully,
SQBIR-093779-020A,Assigned RPA Successfully,
SQBIR-093779-024A,Assigned RPA Successfully,
SQBIR-093779-032A,Assigned RPA Successfully,
SQBIR-093779-018A,Assigned RPA Successfully,
SQBIR-093780-001A,Assigned RPA Successfully,
SQBIR-093780-003A,Assigned RPA Successfully,
SQBIR-093780-006A,Assigned RPA Successfully,
SQBIR-093780-009A,Assigned RPA Successfully,
SQBIR-093780-011A,Assigned RPA Successfully,
SQBIR-093780-020A,Assigned RPA Successfully,
SQBIR-093780-024A,Assigned RPA Successfully,
SQBIR-093780-032A,Assigned RPA Successfully,
,,SQBIR-093781-001A
,,SQBIR-093781-003A
,,SQBIR-093781-006A
,,SQBIR-093781-009A
SQBIR-093781-011A,Assigned RPA Successfully,
SQBIR-093781-020A,Assigned RPA Successfully,
SQBIR-093781-024A,Assigned RPA Successfully,
SQBIR-093781-032A,Assigned RPA Successfully,
SQBIR-093781-018A,Assigned RPA Successfully,
SQBIR-093782-001A,Assigned RPA Successfully,
SQBIR-093782-003A,Assigned RPA Successfully,
SQBIR-093782-006A,Assigned RPA Successfully,
SQBIR-093782-009A,Assigned RPA Successfully,
SQBIR-093782-011A,Assigned RPA Successfully,
SQBIR-093782-020A,Assigned RPA Successfully,
SQBIR-093782-024A,Assigned RPA Successfully,
SQBIR-093782-032A,Assigned RPA Successfully,
SQBIR-093782-018A,Assigned RPA Successfully,
SQBIR-093758-001B,Assigned RPA Successfully,
SQBIR-093758-003B,Assigned RPA Successfully,
SQBIR-093758-005B,Assigned RPA Successfully,
SQBIR-093758-008B,Assigned RPA Successfully,
